station_id,architecture,target_variable,ablation_group,mae,mae_baseline,delta_mae,n_features
KMSP,linear,MaxT,Bias,0.7725837070153836,0.7748206148196364,-0.0022369078042527,44
KMSP,linear,MaxT,Lags,0.7751109495370565,0.7748206148196364,0.0002903347174201,42
KMSP,linear,MaxT,Rolling,0.7703123235634226,0.7748206148196364,-0.0045082912562137,36
KMSP,linear,MaxT,NWP_atmosphere,0.7577375438691292,0.7748206148196364,-0.0170830709505072,43
KMSP,linear,MaxT,Physics,0.7703939108859628,0.7748206148196364,-0.0044267039336736,41
KMSP,linear,MaxT,Time,0.7631187879867959,0.7748206148196364,-0.0117018268328404,44
KMSP,mlp,MaxT,ECMWF,0.7602007082563504,0.7608001556898566,-0.0005994474335061,44
KMSP,mlp,MaxT,Bias,0.7705277436409573,0.7608001556898566,0.0097275879511007,44
KMSP,mlp,MaxT,Lags,0.7608001556898222,0.7608001556898566,-3.441691376337985e-14,42
KMSP,mlp,MaxT,Rolling,0.7516952231912724,0.7608001556898566,-0.0091049324985842,36
KMSP,mlp,MaxT,NWP_atmosphere,0.7651463511089662,0.7608001556898566,0.0043461954191096,43
KMSP,mlp,MaxT,Physics,0.7614381564917438,0.7608001556898566,0.0006380008018872,41
KMSP,mlp,MaxT,Time,0.7668538746038506,0.7608001556898566,0.0060537189139939,44
KMSP,catboost,MinT,ECMWF,1.4479559748214974,1.5116779961314446,-0.0637220213099472,44
KMSP,catboost,MinT,Bias,1.4560827873976558,1.5116779961314446,-0.0555952087337887,44
KMSP,catboost,MinT,Lags,1.4650304186176906,1.5116779961314446,-0.046647577513754,42
KMSP,catboost,MinT,Rolling,1.4003428792114934,1.5116779961314446,-0.1113351169199512,36
KMSP,catboost,MinT,NWP_atmosphere,1.469848055484493,1.5116779961314446,-0.0418299406469515,43
KMSP,catboost,MinT,Physics,1.5839126951685816,1.5116779961314446,0.0722346990371369,41
KMSP,catboost,MinT,Time,1.464123297185976,1.5116779961314446,-0.0475546989454684,44
KMSP,xgboost,MinT,ECMWF,1.2664781820556494,1.2251748521111707,0.0413033299444787,44
KMSP,xgboost,MinT,Bias,1.2751144356695951,1.2251748521111707,0.0499395835584244,44
KMSP,xgboost,MinT,Lags,1.277739799227071,1.2251748521111707,0.0525649471159002,42
KMSP,xgboost,MinT,Rolling,1.2774433930552838,1.2251748521111707,0.052268540944113,36
